date,USD,JPY,CHF,GBP,EUR
1999-01-04,1.1789,133.73,1.6168,0.7111,1.0
1999-01-05,1.179,130.96,1.6123,0.7122,1.0
1999-01-06,1.1743,131.42,1.6116,0.7076,1.0
1999-01-07,1.1632,129.43,1.6165,0.70585,1.0
1999-01-08,1.1659,130.09,1.6138,0.7094,1.0
1999-01-11,1.1569,126.33,1.6104,0.7044,1.0
1999-01-12,1.152,129.63,1.6072,0.7066,1.0
1999-01-13,1.1744,131.89,1.5931,0.7084,1.0
1999-01-14,1.1653,132.74,1.5934,0.7062,1.0
1999-01-15,1.1626,131.74,1.5984,0.7039,1.0
1999-01-18,1.1612,132.9,1.6004,0.7013,1.0
1999-01-19,1.1616,132.14,1.6001,0.7,1.0
1999-01-20,1.1575,131.59,1.6024,0.7014,1.0
1999-01-21,1.1572,130.34,1.603,0.7023,1.0
1999-01-22,1.1567,131.88,1.5983,0.7005,1.0
1999-01-25,1.1584,132.09,1.5966,0.6989,1.0
1999-01-26,1.1582,131.81,1.6022,0.6976,1.0
1999-01-27,1.1529,131.91,1.6082,0.6968,1.0
1999-01-28,1.141,132.25,1.6129,0.6928,1.0
1999-01-29,1.1384,132.1,1.6123,0.691,1.0
1999-02-01,1.1338,130.88,1.6089,0.6904,1.0
1999-02-02,1.1337,127.7,1.6002,0.6888,1.0
1999-02-03,1.1337,126.86,1.5975,0.6925,1.0
1999-02-04,1.1263,127.65,1.6017,0.6894,1.0
1999-02-05,1.1292,127.95,1.6012,0.6885,1.0
1999-02-08,1.1246,127.82,1.6018,0.6888,1.0
1999-02-09,1.1333,129.91,1.5999,0.6911,1.0
1999-02-10,1.1342,130.73,1.5963,0.6954,1.0
1999-02-11,1.1312,129.35,1.5966,0.6975,1.0
1999-02-12,1.1244,128.92,1.5992,0.6917,1.0
1999-02-15,1.1238,129.31,1.595,0.6895,1.0
1999-02-16,1.1176,131.82,1.5975,0.6854,1.0
1999-02-17,1.1253,133.48,1.5973,0.6873,1.0
1999-02-18,1.1232,134.4,1.5982,0.6871,1.0
1999-02-19,1.1163,133.97,1.5982,0.6838,1.0
1999-02-22,1.0992,133.61,1.5986,0.6789,1.0
1999-02-23,1.0969,133.14,1.5954,0.6796,1.0
1999-02-24,1.1037,133.86,1.594,0.6883,1.0
1999-02-25,1.1031,132.87,1.5905,0.6888,1.0
1999-02-26,1.1018,131.33,1.589,0.6873,1.0
1999-03-01,1.0986,131.13,1.593,0.6829,1.0
1999-03-02,1.0887,131.37,1.5912,0.6764,1.0
1999-03-03,1.0899,132.18,1.5926,0.6723,1.0
1999-03-04,1.0866,133.92,1.5883,0.6759,1.0
1999-03-05,1.0834,133.19,1.5912,0.6737,1.0
1999-03-08,1.0908,132.77,1.5933,0.6776,1.0
1999-03-09,1.0863,132.45,1.5931,0.6754,1.0
1999-03-10,1.0953,131.74,1.6014,0.6746,1.0
1999-03-11,1.0891,131.0,1.5972,0.6694,1.0
1999-03-12,1.0932,130.8,1.5975,0.6686,1.0
1999-03-15,1.0949,128.85,1.601,0.6739,1.0
1999-03-16,1.0901,128.65,1.5995,0.6703,1.0
1999-03-17,1.0966,130.18,1.5987,0.6744,1.0
1999-03-18,1.1012,129.78,1.5975,0.676,1.0
1999-03-19,1.0915,127.99,1.5986,0.6708,1.0
1999-03-22,1.0864,128.0,1.5966,0.6677,1.0
1999-03-23,1.0896,128.94,1.5945,0.6706,1.0
1999-03-24,1.0928,128.6,1.5908,0.6653,1.0
1999-03-25,1.0898,128.65,1.5944,0.6668,1.0
1999-03-26,1.0815,128.93,1.5965,0.665,1.0
1999-03-29,1.0692,128.78,1.5943,0.6615,1.0
1999-03-30,1.0711,128.86,1.5956,0.6638,1.0
1999-03-31,1.0742,127.81,1.5981,0.6663,1.0
1999-04-01,1.0772,128.72,1.5957,0.669,1.0
1999-04-02,1.0772,129.85,1.5973,0.672,1.0
1999-04-05,1.0752,130.55,1.5968,0.6702,1.0
1999-04-06,1.0726,129.99,1.595,0.6759,1.0
1999-04-07,1.0812,131.27,1.5952,0.6772,1.0
1999-04-08,1.0818,130.45,1.5958,0.6731,1.0
1999-04-09,1.0778,130.75,1.5968,0.6724,1.0
1999-04-12,1.0867,130.27,1.603,0.6723,1.0
1999-04-13,1.0765,129.66,1.6032,0.6671,1.0
1999-04-14,1.0787,128.55,1.6052,0.6667,1.0
1999-04-15,1.0786,128.01,1.6035,0.6682,1.0
1999-04-16,1.0668,126.16,1.6027,0.6633,1.0
1999-04-19,1.0636,125.67,1.6015,0.6586,1.0
1999-04-20,1.0646,125.48,1.604,0.6589,1.0
1999-04-21,1.0586,126.26,1.6,0.6593,1.0
1999-04-22,1.0581,126.95,1.601,0.6585,1.0
1999-04-23,1.0634,127.25,1.6023,0.6583,1.0
1999-04-26,1.0614,126.22,1.6027,0.6569,1.0
1999-04-27,1.063,127.34,1.6047,0.6587,1.0
1999-04-28,1.0666,127.05,1.6088,0.6583,1.0
1999-04-29,1.0604,126.16,1.6072,0.6584,1.0
1999-04-30,1.0597,126.9,1.6113,0.6571,1.0
1999-05-03,1.0589,126.93,1.6111,0.6571,1.0
1999-05-04,1.0564,128.04,1.6098,0.6553,1.0
1999-05-05,1.0667,128.78,1.6041,0.6552,1.0
1999-05-06,1.0799,130.6,1.608,0.6601,1.0
1999-05-07,1.0786,130.13,1.6078,0.661,1.0
1999-05-10,1.0735,129.82,1.6075,0.6604,1.0
1999-05-11,1.0732,129.97,1.6082,0.6619,1.0
1999-05-12,1.0645,128.88,1.6052,0.6577,1.0
1999-05-13,1.0622,129.2,1.6013,0.656,1.0
1999-05-14,1.0676,130.78,1.602,0.6601,1.0
1999-05-17,1.0685,131.47,1.6023,0.6598,1.0
1999-05-18,1.069,131.62,1.6023,0.6592,1.0
1999-05-19,1.0634,132.4,1.6017,0.6569,1.0
1999-05-20,1.0639,132.16,1.602,0.6591,1.0
1999-05-21,1.0572,131.25,1.6034,0.6583,1.0
1999-05-24,1.0585,130.86,1.6023,0.6617,1.0
1999-05-25,1.0627,130.41,1.5964,0.6634,1.0
1999-05-26,1.0535,128.77,1.5949,0.658,1.0
1999-05-27,1.0473,128.05,1.5939,0.6551,1.0
1999-05-28,1.0479,126.7,1.5941,0.6546,1.0
1999-05-31,1.0456,127.18,1.5943,0.6524,1.0
1999-06-01,1.0434,126.35,1.5928,0.6505,1.0
1999-06-02,1.0382,125.71,1.5912,0.6443,1.0
1999-06-03,1.0382,125.8,1.5928,0.6458,1.0
1999-06-04,1.0315,125.45,1.5877,0.6412,1.0
1999-06-07,1.0316,124.7,1.5858,0.6414,1.0
1999-06-08,1.0385,125.99,1.5909,0.6489,1.0
1999-06-09,1.0466,124.48,1.5914,0.6523,1.0
1999-06-10,1.0474,124.5,1.5947,0.6538,1.0
1999-06-11,1.0474,124.09,1.597,0.6506,1.0
1999-06-14,1.0437,125.42,1.5952,0.6473,1.0
1999-06-15,1.0392,125.27,1.5941,0.6501,1.0
1999-06-16,1.0345,124.4,1.5944,0.651,1.0
1999-06-17,1.034,123.97,1.5976,0.6481,1.0
1999-06-18,1.0388,124.52,1.5969,0.6506,1.0
1999-06-21,1.0339,126.3,1.5967,0.6506,1.0
1999-06-22,1.0313,125.6,1.5952,0.6498,1.0
1999-06-23,1.028,125.55,1.597,0.6511,1.0
1999-06-24,1.0321,126.05,1.5977,0.6533,1.0
1999-06-25,1.0443,126.8,1.5995,0.6578,1.0
1999-06-28,1.0388,125.96,1.5995,0.6564,1.0
1999-06-29,1.0364,125.3,1.6012,0.6544,1.0
1999-06-30,1.0328,124.82,1.6034,0.6563,1.0
1999-07-01,1.0264,124.12,1.6043,0.6502,1.0
1999-07-02,1.0241,123.93,1.606,0.6498,1.0
1999-07-05,1.0232,125.18,1.6055,0.6491,1.0
1999-07-06,1.0221,124.87,1.604,0.6514,1.0
1999-07-07,1.0222,124.77,1.6034,0.6563,1.0
1999-07-08,1.0182,124.72,1.6029,0.6544,1.0
1999-07-09,1.0204,124.66,1.6065,0.6577,1.0
1999-07-12,1.0124,123.82,1.6072,0.6527,1.0
1999-07-13,1.0183,123.83,1.6031,0.6538,1.0
1999-07-14,1.0168,122.97,1.6043,0.6523,1.0
1999-07-15,1.0201,123.04,1.6055,0.6513,1.0
1999-07-16,1.0202,123.15,1.6059,0.6509,1.0
1999-07-19,1.0146,121.6,1.6067,0.6511,1.0
1999-07-20,1.041,123.09,1.6038,0.6618,1.0
1999-07-21,1.0462,124.2,1.6059,0.6653,1.0
1999-07-22,1.0499,124.06,1.6068,0.6642,1.0
1999-07-23,1.0496,121.96,1.6053,0.6634,1.0
1999-07-26,1.0698,123.8,1.6066,0.6731,1.0
1999-07-27,1.0627,124.27,1.6,0.668,1.0
1999-07-28,1.0603,123.15,1.5986,0.6683,1.0
1999-07-29,1.068,123.18,1.5979,0.6665,1.0
1999-07-30,1.0694,123.19,1.5976,0.6598,1.0
1999-08-02,1.0665,121.88,1.5963,0.6591,1.0
1999-08-03,1.0645,122.69,1.5994,0.6588,1.0
1999-08-04,1.0761,123.39,1.6002,0.6627,1.0
1999-08-05,1.0791,123.37,1.5986,0.667,1.0
1999-08-06,1.074,123.13,1.6019,0.665,1.0
1999-08-09,1.0705,123.37,1.5993,0.6665,1.0
1999-08-10,1.0737,123.25,1.6003,0.6655,1.0
1999-08-11,1.0668,122.92,1.6023,0.6623,1.0
1999-08-12,1.0638,123.25,1.6023,0.6614,1.0
1999-08-13,1.0667,122.41,1.6015,0.6619,1.0
1999-08-16,1.0553,121.28,1.602,0.6585,1.0
1999-08-17,1.0527,120.34,1.6012,0.6584,1.0
1999-08-18,1.0517,118.9,1.6016,0.6556,1.0
1999-08-19,1.0517,117.02,1.5997,0.6556,1.0
1999-08-20,1.0667,119.16,1.5975,0.659,1.0
1999-08-23,1.0606,118.03,1.5973,0.658,1.0
1999-08-24,1.0512,117.42,1.6009,0.6576,1.0
1999-08-25,1.0433,115.7,1.601,0.6572,1.0
1999-08-26,1.0452,116.38,1.602,0.6574,1.0
1999-08-27,1.045,116.68,1.6014,0.6588,1.0
1999-08-30,1.0454,116.1,1.6019,0.6582,1.0
1999-08-31,1.0573,115.53,1.5997,0.6585,1.0
1999-09-01,1.0613,116.0,1.6004,0.6593,1.0
1999-09-02,1.0662,116.16,1.5991,0.6631,1.0
1999-09-03,1.0682,117.32,1.5969,0.6634,1.0
